species,genus,family,CTmin,CTmax,Topt,habitat,lat,lon,taxa,source
antarctica,Koliella,Koliellaceae,2.684283869,20.00002464,12.60374739,marine,-74.83,164.5,plankton,"Thomas et al. 2012, 2016"
,Klebsormidium,Klebsormidiaceae,1.472359922,31.54463071,13.61144785,marine,-66.28,110.48,plankton,"Thomas et al. 2012, 2016"
antarctica,Phaeocystis,Phaeocystaceae,-1.986312195,7.892356092,3.462879644,marine,-64.78,-64.06,plankton,"Thomas et al. 2012, 2016"
turgiduloides,Pseudo-nitzschia,Bacillariaceae,-1.364725126,9.066391361,4.248702399,marine,-58,62,plankton,"Thomas et al. 2012, 2016"
huxleyi,Emiliania,No�laerhabdaceae,10.01125299,30.00053413,22.66390315,marine,-46.98,168.12,plankton,"Thomas et al. 2012, 2016"
salina,Dunaliella,Dunaliellaceae,5.241743956,35.25563772,24.04136555,saline lake,-41.73,174.17,plankton,"Thomas et al. 2012, 2016"
japonica,Fibrocapsa,Chattonellaceae,5.772252331,34.85717079,22.65169693,marine,-41.27,174.85,plankton,"Thomas et al. 2012, 2016"
oceanica,Gephyrocapsa,No�laerhabdaceae,5.236139316,30.13725665,22.29491187,marine,-36.3,174.81,plankton,"Thomas et al. 2012, 2016"
leptoporus,Calcidiscus,Calcidiscaceae,6.533056387,24.93226755,15.46532963,marine,-34.28,17.18,plankton,"Thomas et al. 2012, 2016"
huxleyi,Emiliania,No�laerhabdaceae,8.571599607,31.35519631,23.58273862,marine,-29.82,31.02,plankton,"Thomas et al. 2012, 2016"
aeruginosa,Microcystis,Microcystaceae,11.76295177,39.17449357,32.16545468,freshwater,-25.75,27.86,plankton,"Thomas et al. 2012, 2016"
leptoporus,Calcidiscus,Calcidiscaceae,6.785844489,24.98802763,18.50424672,marine,-23,14,plankton,"Thomas et al. 2012, 2016"
,Isochrysis,Isochrysidaceae,8.645771111,37.26951256,22.29850642,marine,-18.51,121.8,plankton,"Thomas et al. 2012, 2016"
erythraeum,Trichodesmium,Phormidiaceae,15.90112402,34.96834839,28.55694943,marine,-16.37,145.57,plankton,"Thomas et al. 2012, 2016"
closterium,Cylindrotheca,Bacillariaceae,15.96478792,37.65384225,23.21859481,estuarine,-12.48,130.8,plankton,"Thomas et al. 2012, 2016"
tuberosa,Pernambugia,,11.50484845,32.53279821,23.83795659,marine,-11.54,-28.58,plankton,"Thomas et al. 2012, 2016"
raciborskii,Cylindrospermopsis,Nostocaceae,10.6341162,40.776421,29.34894022,freshwater,-8.1,-36.22,plankton,"Thomas et al. 2012, 2016"
globosa,Phaeocystis,Phaeocystaceae,9.576999527,36.52076039,25.46180958,marine,-1.38,-89.65,plankton,"Thomas et al. 2012, 2016"
tropicum,Skeletonema,Skeletonemaceae,11.8695229,36.23314924,27.14348294,marine,5,-52,plankton,"Thomas et al. 2012, 2016"
mobiliensis,Odontella,Triceratiaceae,12.49339993,34.84882435,26.85191783,marine,6,-54,plankton,"Thomas et al. 2012, 2016"
didymus,Chaetoceros,Chaetocerotaceae,10.9799901,35.37964312,21.20477853,marine,6,-54,plankton,"Thomas et al. 2012, 2016"
setigera,Rhizosolenia,Rhizosoleniaceae,10.83853101,34.5080558,24.02837696,marine,6,-54,plankton,"Thomas et al. 2012, 2016"
tropicum,Skeletonema,Skeletonemaceae,10.2646778,36.25740448,25.75524262,marine,6,-54,plankton,"Thomas et al. 2012, 2016"
nitzschioides,Thalassionema,Thalassionemataceae,8.119941723,34.07539318,27.01490387,marine,6,-54,plankton,"Thomas et al. 2012, 2016"
granifera,Leonella,,14.49021928,32.02381222,26.55024552,marine,8.71,-52.5,plankton,"Thomas et al. 2012, 2016"
,Gymnodinium,Gymnodiniaceae,15.36930765,32.33305025,25.98823527,marine,9.81,-89.24,plankton,"Thomas et al. 2012, 2016"
watsonii,Crocosphaera,Cyanobacteriaceae,24.49213158,31.09526754,28.83732041,marine,12.31,-56.04,plankton,"Thomas et al. 2012, 2016"
,Gymnodinium,Gymnodiniaceae,14.96421695,33.02447641,24.99489219,marine,14.67,-96.98,plankton,"Thomas et al. 2012, 2016"
quadricaudatus,Desmodesmus,Scenedesmaceae,21.61533024,41.10258533,30.84753728,freshwater,14.87,74.42,plankton,"Thomas et al. 2012, 2016"
raciborskii,Cylindrospermopsis,Nostocaceae,11.68972714,39.33161518,30.13323467,freshwater,22.73,-99.8,plankton,"Thomas et al. 2012, 2016"
radians,Trichodesmium,Phormidiaceae,23.0811759,35.5251165,26.28269007,marine,22.75,-158,plankton,"Thomas et al. 2012, 2016"
watsonii,Crocosphaera,Cyanobacteriaceae,24.4530928,31.12679576,28.69128562,marine,22.76,-158.01,plankton,"Thomas et al. 2012, 2016"
watsonii,Crocosphaera,Cyanobacteriaceae,24.92357843,31.05446665,28.75878899,marine,22.76,-158.01,plankton,"Thomas et al. 2012, 2016"
costatum,Skeletonema,Skeletonemaceae,8.393079864,34.20859649,26.93807172,marine,24.49,118.11,plankton,"Thomas et al. 2012, 2016"
tamesis,Helicotheca,Lithodesmiaceae,9.227247622,32.70153297,24.34244147,marine,24.49,118.11,plankton,"Thomas et al. 2012, 2016"
catenatum,Gymnodinium,Gymnodiniaceae,7.103237861,32.73772404,24.18859962,estuarine,26.65,-111.8,plankton,"Thomas et al. 2012, 2016"
brevis,Karenia,Kareniaceae,12.9856863,29.56679097,20.63421151,marine,27.01,-82.42,plankton,"Thomas et al. 2012, 2016"
rotula,Thalassiosira,Thalassiosiraceae,1.098857339,33.66302139,22.05376417,marine,27.5,-115,plankton,"Thomas et al. 2012, 2016"
,Synechococcus,Synechococcaceae,12.02171824,34.44632579,26.77017664,marine,28.5,-67.39,plankton,"Thomas et al. 2012, 2016"
,Amphiprora,Amphipleuraceae,9.639337432,33.99368941,28.20807009,marine,28.9,50.75,plankton,"Thomas et al. 2012, 2016"
lorenzianus,Chaetoceros,Chaetocerotaceae,11.18138737,36.53421208,24.99943272,marine,28.9,50.75,plankton,"Thomas et al. 2012, 2016"
danicus,Leptocylindrus,Leptocylindraceae,13.18597877,33.90884138,27.61186782,marine,28.9,50.75,plankton,"Thomas et al. 2012, 2016"
marinus,Prochlorococcus,Synechococcaceae,12.07591082,28.04087176,23.26107388,marine,28.98,-64.35,plankton,"Thomas et al. 2012, 2016"
brevis,Karenia,Kareniaceae,11.16694211,31.41491012,23.74853107,marine,29.71,-84.98,plankton,"Thomas et al. 2012, 2016"
parvum,Prymnesium,Prymnesiaceae,11.42486634,32.74919932,19.30027049,freshwater,30.25,-97.69,plankton,"Thomas et al. 2012, 2016"
sorokiniana,Chlorella,Chlorellaceae,12.05808999,43.80433774,36.35558437,freshwater,30.26,-97.74,plankton,"Thomas et al. 2012, 2016"
marina,Chattonella,Chattonellaceae,10.03534329,34.97887969,23.66323851,marine,31.39,130.66,plankton,"Thomas et al. 2012, 2016"
,,,10.39038196,37.33053523,27.30088507,marine,32.3,-64.7,plankton,"Thomas et al. 2012, 2016"
sanguinea,Akashiwo,,9.5610927,30.09304507,23.38200038,marine,32.87,-117.26,plankton,"Thomas et al. 2012, 2016"
polykrikoides,Cochlodinium,Gymnodiniaceae,9.799805023,34.95526699,28.18608002,marine,32.93,128.26,plankton,"Thomas et al. 2012, 2016"
japonica,Fibrocapsa,Chattonellaceae,9.882964367,31.84022098,22.74809998,marine,34.3,134.25,plankton,"Thomas et al. 2012, 2016"
marina,Chattonella,Chattonellaceae,10.47473325,30.97743803,26.03512105,marine,34.5,134.58,plankton,"Thomas et al. 2012, 2016"
erythraeum,Trichodesmium,Phormidiaceae,19.26654392,35.36356281,27.33105828,marine,35,-76,plankton,"Thomas et al. 2012, 2016"
furca,Biceratium,Ceratiaceae,10.37163152,31.96907795,24.64981831,marine,35.15,139.35,plankton,"Thomas et al. 2012, 2016"
fusus,Neoceratium,Ceratiaceae,9.501299194,31.94442617,25.4947875,marine,35.15,139.35,plankton,"Thomas et al. 2012, 2016"
pseudocurvisetus,Chaetoceros,Chaetocerotaceae,15.0342219,34.94705306,24.41590163,marine,35.15,139.35,plankton,"Thomas et al. 2012, 2016"
costatum,Skeletonema,Skeletonemaceae,2.265132082,34.89272574,23.06399847,marine,35.5,140,plankton,"Thomas et al. 2012, 2016"
crassisquama,Mallomonas,Mallomonadaceae,5.567754056,24.68895308,16.09751372,freshwater,35.8,128.62,plankton,"Thomas et al. 2012, 2016"
tonsurata,Mallomonas,Mallomonadaceae,9.96219173,24.88215543,20.04570792,freshwater,35.8,128.62,plankton,"Thomas et al. 2012, 2016"
areolata,Mallomonas,Mallomonadaceae,5.684399398,26.12820622,19.94967256,freshwater,35.95,128.33,plankton,"Thomas et al. 2012, 2016"
acaroides,Mallomonas,Mallomonadaceae,9.043199808,24.03419285,19.85289603,freshwater,35.97,128.63,plankton,"Thomas et al. 2012, 2016"
caudata,Mallomonas,Mallomonadaceae,6.947786541,24.02801127,17.15768801,freshwater,36,129.47,plankton,"Thomas et al. 2012, 2016"
hantzschii,Stephanodiscus,Stephanodiscaceae,5.089541783,34.94713034,23.85388053,freshwater,36,140,plankton,"Thomas et al. 2012, 2016"
,Peridinium,Peridiniaceae,7.068112304,29.47066159,17.9411089,marine,36.61,-121.89,plankton,"Thomas et al. 2012, 2016"
gracile,Prorocentrum,Prorocentraceae,7.906985802,24.85102906,16.95163289,marine,36.61,-121.89,plankton,"Thomas et al. 2012, 2016"
micans,Prorocentrum,Prorocentraceae,4.584456988,30.05193519,23.55714388,marine,36.61,-121.89,plankton,"Thomas et al. 2012, 2016"
uncatenum,Gyrodinium,Gymnodiniaceae,7.729698665,35.79983445,27.59066745,estuarine,38.22,-76.85,plankton,"Thomas et al. 2012, 2016"
guillardii,Conticribra,Thalassiosiraceae,1.754799963,29.89306286,16.66148716,marine,39.6,-70.1,plankton,"Thomas et al. 2012, 2016"
closterium,Cylindrotheca,Bacillariaceae,7.766342016,34.75007045,22.24638066,marine,40.44,-73.98,plankton,"Thomas et al. 2012, 2016"
atomus,Picochlorum,,5.810558927,31.7200832,22.34979059,estuarine,40.68,-73.13,plankton,"Thomas et al. 2012, 2016"
tricornutum,Phaeodactylum,Phaeodactylaceae,0.519693072,29.80705856,13.46490003,estuarine,40.68,-73.13,plankton,"Thomas et al. 2012, 2016"
,Stichococcus,Prasiolaceae,5.582757264,33.19353761,21.44435136,estuarine,40.68,-73.13,plankton,"Thomas et al. 2012, 2016"
globator,Volvox,Volvocaceae,5.836263344,29.93842082,21.83513438,freshwater,41.53,-70.67,plankton,"Thomas et al. 2012, 2016"
subterranea,Monodopsis,Monodopsidaceae,10.26094574,31.53377924,26.04211355,freshwater,41.56,-72.93,plankton,"Thomas et al. 2012, 2016"
confervacea,Detonula,Skeletonemaceae,0.786062158,18.07830998,7.186515206,estuarine,41.57,-71.34,plankton,"Thomas et al. 2012, 2016"
nordenskioeldii,Thalassiosira,Thalassiosiraceae,-4.835759195,15.68643112,9.720040388,estuarine,41.57,-71.34,plankton,"Thomas et al. 2012, 2016"
rotula,Thalassiosira,Thalassiosiraceae,-0.20827323,29.92245844,19.52169736,estuarine,41.57,-71.34,plankton,"Thomas et al. 2012, 2016"
tamarense,Alexandrium,Gonyaulacaceae,4.017339028,25.99998551,17.75243334,estuarine,41.79,-69.95,plankton,"Thomas et al. 2012, 2016"
setigera,Rhizosolenia,Rhizosoleniaceae,1.081330133,20.1313379,10.27695763,marine,41.9,-70.32,plankton,"Thomas et al. 2012, 2016"
catenatum,Gymnodinium,Gymnodiniaceae,7.457265026,29.27870408,24.11874221,estuarine,42.43,-8.95,plankton,"Thomas et al. 2012, 2016"
aeruginosa,Microcystis,Microcystaceae,8.382671676,36.16257458,28.24534023,freshwater,43.11,-89.42,plankton,"Thomas et al. 2012, 2016"
minimum,Prorocentrum,Prorocentraceae,7.949887184,32.23509483,23.33986138,marine,43.32,5.32,plankton,"Thomas et al. 2012, 2016"
fundyense,Alexandrium,Gonyaulacaceae,2.881949739,23.92547272,16.96930785,marine,43.56,-69.45,plankton,"Thomas et al. 2012, 2016"
reinhardtii,Chlamydomonas,Chlamydomonadaceae,5.214384105,37.59045118,27.59323415,freshwater,44.47,-78.72,plankton,"Thomas et al. 2012, 2016"
fundyense,Alexandrium,Gonyaulacaceae,1.998380173,24.14261948,15.75863192,marine,44.7,-66.51,plankton,"Thomas et al. 2012, 2016"
granii,Pseudo-nitzschia,Bacillariaceae,3.752539098,23.51204112,13.7308047,marine,45,-145,plankton,"Thomas et al. 2012, 2016"
costatum,Skeletonema,Skeletonemaceae,0.14749603,27.939463,17.89035061,marine,48.54,-123.01,plankton,"Thomas et al. 2012, 2016"
raciborskii,Cylindrospermopsis,Nostocaceae,13.24013825,42.56459936,29.7498108,freshwater,48.94,2.31,plankton,"Thomas et al. 2012, 2016"
sphagnicola,Synura,Mallomonadaceae,3.261082862,24.51864448,16.11983788,freshwater,49.69,-93.75,plankton,"Thomas et al. 2012, 2016"
,Tribonema,Tribonemataceae,-0.899571139,30.18888138,20.27655472,freshwater,51.75,-1.36,plankton,"Thomas et al. 2012, 2016"
avicula,Staurastrum,Desmidiaceae,5.218019321,34.69277591,26.79752662,freshwater,52.14,5.06,plankton,"Thomas et al. 2012, 2016"
chaetoceras,Staurastrum,Desmidiaceae,7.936347491,34.10130426,26.7374244,freshwater,52.38,5.09,plankton,"Thomas et al. 2012, 2016"
raciborskii,Cylindrospermopsis,Nostocaceae,10.23536612,36.46968314,27.40272812,freshwater,52.92,12.94,plankton,"Thomas et al. 2012, 2016"
limnetica,Synechocystis,Merismopediaceae,3.132594003,20.00384943,12.51491798,freshwater,53.62,108.38,plankton,"Thomas et al. 2012, 2016"
japonica,Fibrocapsa,Chattonellaceae,8.939543951,32.18142293,22.88156927,marine,54.12,8.86,plankton,"Thomas et al. 2012, 2016"
flos-aquae,Anabaena,Nostocaceae,5.013410933,29.21188556,16.87033047,freshwater,54.35,-2.94,plankton,"Thomas et al. 2012, 2016"
agardhii,Planktothrix,Phormidiaceae,0.556111297,35.0076817,27.88145803,freshwater,54.4,-6.6,plankton,"Thomas et al. 2012, 2016"
furcoides,Ceratium,Ceratiaceae,8.355020325,29.98320961,22.80918763,freshwater,54.57,-3,plankton,"Thomas et al. 2012, 2016"
marssonii,Cryptomonas,Cryptomonadaceae,-0.513746513,30.21123246,16.22341175,freshwater,54.57,-3,plankton,"Thomas et al. 2012, 2016"
divergens,Dinobryon,Dinobryaceae,-0.80299123,29.84726862,16.70896857,freshwater,54.57,-3,plankton,"Thomas et al. 2012, 2016"
bourrellyi,Tychonema,Phormidiaceae,2.289404375,29.69746785,21.68485029,freshwater,54.57,-3,plankton,"Thomas et al. 2012, 2016"
